"","data.met2","data.ad1","data.met1","data.juv1","data.ad2","data.egg2","data.juv2","data.egg1"
"rnd-1_family-17#LINE/CR1",25.4991327925743,75.1592538364425,28.2217702154805,79.1443067850894,87.1995020807633,56.7812846244286,78.8185365572775,33.6551608252278
"rnd-1_family-180#Unknown",13582.2574910888,5829.5042223771,10640.2814744455,2509.15721625433,12404.8685810013,76646.4999063962,1746.97861190217,78062.2947812686
"rnd-1_family-181#Unknown",5201.78712695479,3038.52457986723,4467.48694188743,2132.80502899615,5369.82266538368,5124.68371805454,2160.89461747068,5242.96959291962
"rnd-1_family-182#Unknown",2123.92448515963,477.136212150592,2371.03827449133,997.078108556536,778.549878080081,1586.65728462135,1286.57606848416,1059.06538886719
"rnd-1_family-183#Unknown",8476.36903991081,3561.78083786302,7556.81895484989,9485.6658665072,14000.6568928342,3989.1225593475,9214.10407913195,3362.03798953445
"rnd-1_family-184#LTR/Gypsy",676.599181894177,940.579501797982,638.823143618212,696.433546190405,642.883834931416,471.381912025223,697.355058210519,526.326930752447
"rnd-1_family-185#Unknown",266.959866768613,217.271552439521,198.796732985109,459.930970125589,196.685407329343,290.335238587431,380.959877514533,486.811106896754
"rnd-1_family-186#Unknown",13703.4847258419,9452.5753070395,18991.5964040224,13276.069463469,6150.99371786899,13384.3489170472,11866.3574594556,12241.3260809998
"rnd-1_family-187#LINE/CR1",16.0960775473726,36.0977470199898,25.6682968568326,61.6344112918122,16.6653360033497,9.80027274698156,62.4702870860698,7.48067140018726
"rnd-1_family-188#LINE/RTE-BovB",1056.82947161924,1455.9716061929,1657.46320991391,1759.21691498844,948.771656391731,1717.59445960819,1886.74002299109,1398.71007007896
"rnd-1_family-189#Unknown",4118.78098115615,982.318354321216,3168.7659284749,972.052558606719,2016.16035215139,1380.78584736958,975.976069889189,1734.08637898411
"rnd-1_family-18#LINE/CR1",1326.2988613035,415.36115668588,1214.29583990492,504.754572708459,653.364197363186,881.04268758574,503.027832885527,584.956728179743
"rnd-1_family-190#LINE/L1-DRE",453.435717142955,231.364964636541,397.082631341639,252.784631545442,183.423670101487,242.518082956313,286.556229839996,239.824562239403
"rnd-1_family-191#DNA/CMC-EnSpm",5951.9149147518,2859.97481398824,3712.128128397,2635.94600781984,9364.9664092342,3151.57677678964,2991.85958184628,1863.02056952153
"rnd-1_family-192#SINE/tRNA",806.661664727297,395.356462236868,810.203658577509,654.80798381067,288.84477656827,482.093838776188,631.989601697537,241.190560012723
"rnd-1_family-193#LTR/Gypsy",550.522789846699,487.542452953049,571.689842883139,575.70737482526,414.437246774376,927.858748703621,564.567603040267,729.718046147525
"rnd-1_family-194#Unknown",788.726171880304,3439.04192289419,985.805402463243,1604.16788260907,18884.3154443028,1014.81832023677,1642.91667421912,974.897053386709
"rnd-1_family-195#Unknown",15184.2341878098,10588.8166259409,8362.95196352326,3628.48028193874,14323.2114272306,5344.93769767802,3598.86384805122,12948.399867554
"rnd-1_family-196#LTR/Gypsy",6332.4248262151,1655.30376881686,4262.36977818304,2889.4554978618,3827.99387107786,1251.29870148698,2828.99444762613,2088.1596474581
"rnd-1_family-197#LINE/CR1",33.6506366879566,120.824369627547,50.7686226846299,227.432401303772,119.837183341896,159.205288509761,227.411972749263,86.4421573821279
"rnd-1_family-198#LINE/CR1",339.911979242792,186.871976556444,539.699511219626,250.227317767043,129.431242625999,264.817704352069,249.886472917109,236.232946894273
"rnd-1_family-199#Unknown",576.107207214301,338.927947814694,401.373211250028,217.019170028597,278.908664987503,217.597384145401,303.095074777168,278.459735353047
"rnd-1_family-19#LINE/RTE-BovB",578.245845861944,357.253606703975,707.405695906465,484.580750481442,315.610193304341,405.408483806744,493.543517938264,349.655429049752
"rnd-1_family-1#LINE/RTE-BovB",198.496259652956,302.57682074156,249.214006341493,442.927683919737,239.60899384658,399.907883026389,435.587392010372,254.845782718037
"rnd-1_family-200#LINE/RTE-BovB",291.927848876405,59.6485993910693,157.11196505911,134.883986293135,23.2748788273981,6.77825481296395e-07,123.510585157322,18.2309469095938
"rnd-1_family-201#LINE/RTE-BovB",29.1444019877192,141.076825312759,69.4309865095266,23.5348341181547,0,2.42897492649514e-06,8.02810291015424,241.307619621592
"rnd-1_family-202#LTR/Pao",1.26821433880467,12.6501078301595,0.674405108166474,5.34967538609494,7.60183930966569,21.7895945843141,5.57788721579761,9.8258408212598
"rnd-1_family-203#Unknown",62.9903906772027,429.943580685865,25.9585613035283,302.307920678525,250.00084578455,66.8926674030085,333.213878454549,58.9282280958938
"rnd-1_family-204#LINE/RTE-BovB",3517.25070205263,3021.0955444083,3860.069045382,4520.00052320165,2165.41868388636,3819.1489645295,4415.34718902082,3177.27808056629
"rnd-1_family-205#LINE/RTE-BovB",501.887803078504,462.002637782273,759.703452893522,764.611044978056,421.672507801797,518.600872961792,803.31721433531,531.994081558727
"rnd-1_family-206#Unknown",61296.1663896861,54012.346739519,48438.2201743058,31577.8047284103,159485.54652782,45572.9278091684,33093.1979793187,42262.8802592802
"rnd-1_family-207#LINE/Penelope",36.9253258585197,44.9798606458449,42.5430565190508,90.8244512883403,43.6854485942463,52.4864530246773,83.549809818631,40.5522264935391
"rnd-1_family-208#LTR/Gypsy",51.719793083516,177.338703516519,91.8435365300364,325.688522598938,153.027586207237,580.054936840002,321.94593866066,386.419945163585
"rnd-1_family-209#Unknown",81.1842291775859,89.2423797511756,59.7846574955613,84.210965674202,101.678156360615,80.3523573066925,91.802964317342,57.3858463073182
"rnd-1_family-20#LINE/RTE-BovB",1046.78854022275,1158.61209728243,1230.27993293164,1310.75944402717,1269.08719881911,1392.9530892567,1302.9788716249,1186.92856323651
"rnd-1_family-210#LTR/Gypsy",76.7479749930444,163.075294531969,50.9514749839234,49.1296531293438,356.198365138258,46.9310697887164,51.6590323373148,69.3545072843341
"rnd-1_family-211#LINE/CR1",22.4964582006511,18.9308452157292,21.2635107967402,19.7505765475669,22.8031290155033,23.37465673932,19.6423879699498,13.1981210513006
"rnd-1_family-212#LINE/Penelope",389.853794341934,216.085789729419,308.244215604879,237.177623423426,209.717881546942,167.036762637085,235.46373303366,246.507122635088
"rnd-1_family-213#Unknown",5818.16402772014,4178.87646974209,3154.19122171419,989.113494828446,3012.96280718365,3658.57627002547,1415.48169183168,7887.02098263618
"rnd-1_family-214#Unknown",5845.0141169615,1290.25590187413,6957.42644696881,790.007538337664,8.14668752979696e-05,2010.73885270397,404.772079842123,1685.46872221211
"rnd-1_family-215#Unknown",0.00134540932709215,2.56827782591492e-06,0.0667206244144479,643.135072775198,0,4535.50587009019,804.725399517666,1274.46793161512
"rnd-1_family-216#LINE/RTE-BovB",274.430730230727,116.121400721214,320.358195786347,248.34441112,152.252035384101,167.805096716469,238.179328496608,219.987322797429
"rnd-1_family-217#Unknown",348.305968392226,279.662007232677,285.019253200466,262.838799059438,238.169350831943,416.812101952921,268.291904866183,449.466244296957
"rnd-1_family-218#Unknown",172.490764635619,193.122480388755,175.259698162335,465.895002434304,171.656340313294,110.205852243196,454.867396377452,66.7478229190829
"rnd-1_family-219#Unknown",122.013637725149,50.4082063356991,102.24352249938,43.044019759507,56.6475722631961,75.3501998565661,50.3971189349493,97.0066272709957
"rnd-1_family-21#LINE/RTE-BovB",597.44339647762,870.6373029671,753.333950292937,1158.92552461654,632.571023129544,1007.52574810977,1160.83957517403,813.148500459174
"rnd-1_family-220#Unknown",361.745099386031,169.133550242409,289.500896363643,194.663919084131,178.46473673085,162.955089634678,200.805179942744,237.17876736583
"rnd-1_family-221#LINE/CR1",1.1450155269018,114.123129779465,8.27647233824551,85.3329895897081,63.3689506821898,26.7705035198042,94.5713118249187,19.7866989469307
"rnd-1_family-222#LINE/Penelope",9.50689395841442,27.8393073517913,13.6367955837772,21.1710186108088,17.7832153681722,22.3811145924265,17.0945450160734,23.4571735760474
"rnd-1_family-223#LINE/CR1",129.489943471627,47.7480766957261,177.116180410533,288.02114878373,71.3053733036896,87.2133081255451,218.151844145947,20.87002600249
"rnd-1_family-224#LINE/Penelope",171.593640265981,124.694206991838,174.311801161048,84.9448831225398,269.602147661428,135.363059732645,87.2540979653727,191.260120652184
"rnd-1_family-225#Unknown",3965.95992758632,4050.10547563529,6042.75659862459,1740.08820663788,4381.49573641169,1508.06177064237,897.505913067204,3094.67032047924
"rnd-1_family-226#Unknown",469.173182870097,500.262748443618,277.332959510388,249.562093297972,920.438200303953,203.718205820968,260.990301330247,309.427434372412
"rnd-1_family-227#Unknown",35262.9111517012,28494.2720039506,26419.5182089921,21891.3909381685,18033.5268863941,23690.9486757781,19553.4036654193,27341.8474698023
"rnd-1_family-228#LTR/Gypsy",47.3783305900756,184.398104937132,86.5422235013969,308.328511151957,144.067425205538,520.307206182243,319.054576688631,240.106728179529
"rnd-1_family-229#Unknown",0,20.9859463413099,23.9828213320194,19.8432166630202,126.236776065568,133.10103133322,10.1898783929988,0
"rnd-1_family-22#LINE/CR1",222.204511895053,298.321775699325,211.448846425248,557.319516880184,236.538525555184,137.952018892508,550.526305443905,118.07177690061
"rnd-1_family-230#LINE/CR1",14.4743953103361,30.4725449988112,21.0722681309678,20.7977913968124,26.6878346950713,30.0266850783098,22.5898464940299,17.4499534283765
"rnd-1_family-231#Unknown",108.675550589243,78.645840061935,127.572021686975,106.314069516946,84.0551871963296,72.8200413514104,113.139637331556,93.5597863795195
"rnd-1_family-232#LINE/Penelope",427.260600358453,470.410893547218,476.00675164401,506.880988853064,695.722688258395,318.90797959023,494.549760474922,421.722691091318
"rnd-1_family-233#LINE/CR1",13.5455498596787,11.068571248298,23.2878859846698,42.1335496302935,10.2602530410897,17.4633148424321,35.3193162674349,3.75427583933668
"rnd-1_family-234#Unknown",203.116772415282,225.754851336498,232.438788627448,184.69874574221,158.944525624454,211.986156897104,189.019842527528,340.491662251057
"rnd-1_family-235#Unknown",502.074451025782,327.135677723814,509.681645777153,542.436795071954,341.021753368311,462.101270327225,493.45960035686,531.990027583967
"rnd-1_family-236#LTR/Gypsy",2423.42529004005,529.843186035873,1933.05357714839,1249.63731463872,1098.19813579361,542.655200552983,1225.48952517245,507.85262237115
"rnd-1_family-237#Unknown",242.187591982693,359.853257644446,258.408227891584,555.973688066229,713.545715868088,274.100309918168,564.976498925239,314.645683586202
"rnd-1_family-238#LTR/Gypsy",508.718155937559,664.144545416582,500.695589375339,701.372712679428,592.17885001905,1049.24060223288,654.209407070059,667.396832911234
"rnd-1_family-239#LINE/L1",102.187867541811,52.016037370203,65.6323093919898,37.6465724443109,30.5015675966845,64.9141439029596,37.4836329444923,37.3068266573042
