"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"rnd-4_family-79#Satellite",21.516156309735,-0.00252468838775222,0.716310848114855,1.59035783111966,0.66157808780293,0.742084692858419
"rnd-1_family-251#Unknown",1.60042801137994,0.878608693548297,2.81509957581468,1.58250997167589,0.663362036435309,NA
"rnd-5_family-168#Unknown",0.796311093438029,-2.88447467669568,4.03121662371568,1.57890102447319,0.664183276634109,NA
"rnd-1_family-721#Unknown",2.4561094234629,1.73083825561207,2.09402090516037,1.57791608378631,0.66440750099318,0.744641988292604
"rnd-1_family-912#LINE/CR1",8.80506942529045,-0.127204938623005,1.18922426849952,1.57360537199605,0.665389321363703,0.74468256298409
"rnd-6_family-367#LINE/RTE-BovB",74.1933662352131,0.394842994584957,0.42929943591695,1.57010459065539,0.666187237557623,0.74468256298409
"rnd-5_family-424#LINE/CR1",6.97242172184964,-0.982789444915,1.23555616875589,1.56790082923845,0.666689790550195,0.74468256298409
"rnd-1_family-770#LINE/Rex-Babar",30.3771419438298,0.043667374812089,0.584784540273272,1.5659543342782,0.667133842518232,0.74468256298409
"rnd-6_family-19#Unknown",191.557565871892,0.0957377560540594,0.316617457304615,1.56570116204719,0.667191609935561,0.74468256298409
"rnd-1_family-847#Unknown",1.36267124708003,0.155261035820974,2.89051956984306,1.56338449876059,0.66772033577424,NA
"rnd-5_family-1556#LTR/Gypsy",60.3390443918484,-0.311819971033068,0.493740122705027,1.55811439134769,0.668923939724825,0.746001595330978
"rnd-1_family-389#LINE/RTE-BovB",0.646198047014697,-0.832442196948449,4.93276252955465,1.55630756544694,0.669336850317186,NA
"rnd-1_family-204#LINE/RTE-BovB",489.850076346669,0.163458927769419,0.305382945135798,1.55429874178654,0.669796079634413,0.746359940711044
"rnd-6_family-1067#Unknown",1.40854665631615,1.94866892809236,3.12001502109102,1.55059360278605,0.670643528299639,NA
"rnd-1_family-252#Unknown",187.902564414172,0.0705327981329396,0.495128112799497,1.53771581128325,0.67359329310548,0.749974455347515
"rnd-1_family-346#LINE/Penelope",0.493154910050465,-3.71372402234217,4.86792068467297,1.53511755549489,0.67418925406481,NA
"rnd-1_family-492#LTR/Gypsy",0.493154910050465,-3.71372402234217,4.86792068467297,1.53511755549489,0.67418925406481,NA
"rnd-4_family-29#Unknown",0.493154910050465,-3.71372402234217,4.86792068467297,1.53511755549489,0.67418925406481,NA
"rnd-5_family-418#Unknown",0.493154910050465,-3.71372402234217,4.86792068467297,1.53511755549489,0.67418925406481,NA
"rnd-6_family-172#Unknown",0.493154910050465,-3.71372402234217,4.86792068467297,1.53511755549489,0.67418925406481,NA
"rnd-6_family-829#DNA/CMC-EnSpm",0.493154910050465,-3.71372402234217,4.86792068467297,1.53511755549489,0.67418925406481,NA
"rnd-1_family-783#Unknown",1.30803859008673,2.90332401551912,2.79459747125204,1.51059322246924,0.679827587186746,NA
"rnd-1_family-815#Unknown",157.595785263499,0.0654955489008134,0.419747641241473,1.50003933794876,0.682261251187692,0.758791097879888
"rnd-1_family-894#Unknown",2.57375620520826,0.603273207574983,1.93231966646255,1.49734210885104,0.682883905973215,0.758791097879888
"rnd-1_family-852#LINE/CR1",1.36053290231817,0.987434861653985,2.53995546988186,1.49726195995253,0.682902412602509,NA
"rnd-5_family-2216#Unknown",0.535729129948816,3.01849276495853,4.8271032751509,1.49670854590032,0.683030204344669,NA
"rnd-1_family-201#LINE/RTE-BovB",3.38477833518158,1.34596025634719,1.81970212716878,1.49416734648297,0.683617156584464,0.758791097879888
"rnd-1_family-692#Unknown",5.68330325237151,-0.946930305624787,1.16648019693717,1.49358378942298,0.683751978237154,0.758791097879888
"rnd-1_family-545#Unknown",3.64541239747978,-2.16193802391316,1.78824571399834,1.48001115202855,0.686891370517451,0.761651233266077
"rnd-4_family-784#Unknown",9.57695099125354,-0.544469507331801,1.03095693624393,1.46243332541724,0.690967438177681,0.765544463393915
"rnd-1_family-447#Unknown",4.93502785669209,-1.90665799096198,1.57785862814511,1.45508802781386,0.692674091948658,0.765555241693749
"rnd-1_family-188#LINE/RTE-BovB",40.5177340750198,0.385409556216199,0.610703442669325,1.45402420492304,0.692921430484423,0.765555241693749
