"","PC1"
"rnd-1_family-961#DNA/CMC-EnSpm",0.000260497543023637
"rnd-1_family-590#Unknown",0.00025289782366967
"rnd-1_family-116#LINE/CR1",0.000236911479270731
"rnd-1_family-886#Unknown",0.000235943372515778
"rnd-1_family-159#Unknown",0.000235913515648863
"rnd-5_family-882#Unknown",0.000220242948741728
"rnd-5_family-258#LTR/Gypsy",0.000219473907660356
"rnd-1_family-97#Unknown",0.000214199731077004
"rnd-1_family-47#Unknown",0.000210161586017366
"rnd-1_family-218#Unknown",0.000204104032741507
"rnd-1_family-324#Unknown",0.000195782184487408
"rnd-6_family-400#LINE/Penelope",0.000187402384510601
"rnd-1_family-22#LINE/CR1",0.000181899366248477
"rnd-1_family-864#Unknown",0.000174808681000445
"rnd-4_family-248#SINE?",0.000166909091504628
"rnd-1_family-851#Unknown",0.000166859083786675
"rnd-5_family-902#Unknown",0.000163923371679392
"rnd-4_family-268#Unknown",0.000154277578873738
"rnd-4_family-255#DNA/TcMar-Pogo",0.000148671082839345
"rnd-5_family-884#LTR/Gypsy",0.000127932596192211
"rnd-1_family-320#Unknown",0.000124600732126282
"rnd-4_family-809#LTR/Gypsy",0.000124553949788253
"rnd-5_family-2170#Unknown",0.000104499265256943
"rnd-1_family-943#Unknown",9.53730801423905e-05
"rnd-5_family-687#LTR/Gypsy",9.48015867238538e-05
"rnd-5_family-542#DNA/TcMar-Pogo",9.3714390465307e-05
"rnd-1_family-629#LINE/CR1",9.02336070907718e-05
"rnd-4_family-963#Unknown",8.57760790861321e-05
"rnd-1_family-246#LTR/Gypsy",3.4738807763453e-05
"rnd-5_family-989#LINE/R2",1.62414777058633e-05
